Nazione;Prefisso
Afghanistan;+93
Alaska;+1
Albania;+355
Algeria;+213
Andorra;+376
Angola;+244
Anguilla;+1264
Antigua e Barbuda;+1268
Antille Olandesi;+599
Arabia Saudita;+966
Argentina;+54
Armenia;+374
Aruba;+297
Ascension;+247
Australia;+61
Austria;+43
Azerbaigian;+994
Bahamas;+1242
Bahrein;+973
Bangladesh;+880
Barbados;+1246
Belgio;+32
Belize;+501
Benin;+229
Bermuda;+1441
Bhutan;+975
Bielorussia;+375
Bolivia;+591
Bosnia-Erzegovina;+387
Botswana;+267
Brasile;+55
Brunei Darussalam;+673
Bulgaria;+359
Burkina Faso;+226
Burundi;+257
Cambogia;+855
Camerun;+237
Canada;+1
Capo Verde;+238
Isole Cayman;+1345
Ciad;+235
Cile;+56
Cina;+86
Cipro;+357
Colombia;+57
Comore;+2697
Repubblica Democratica del Congo;+242
Corea del Nord;+850
Corea del Sud;+82
Costa d'Avorio;+225
Costa Rica;+506
Croazia;+385
Cuba;+53
Danimarca;+45
Diego Garcia;+246
Dominica;+1767
Ecuador;+593
Egitto;+20
El Salvador;+503
Emirati Arabi Uniti;+971
Emsat;+97403
Eritrea;+291
Estonia;+372
Etiopia;+251
Isole Fær Øer;+298
Falkland;+500
Filippine;+63
Finlandia;+358
Francia;+33
Gabon;+241
Gambia;+220
Georgia;+995
Germania;+49
Ghana;+233
Giamaica;+18099
Giappone;+81
Gibilterra;+350
Gibuti;+253
Giordania;+962
Gran Bretagna;+44
Grecia;+30
Grenada;+1876
Groenlandia;+299
Guadalupa;+590690
Guam;+1671
Guatemala;+502
Guayana Francese;+594694
Guinea-Bissau;+245
Guinea equatoriale;+240
Guyana;+592
Haiti;+509
Hawaii;+1
Honduras;+504
Hong Kong;+852
India;+91
Indonesia;+62
Inmarsat Atlantico Est;+871
Inmarsat Atlantico Ovest;+874
Inmarsat Indiano;+873
Inmarsat Pacifico;+872
Iran;+98
Iraq;+964
Iridium;+8816
Iridium;+8817
Irlanda;+353
Isole Cook;+682
Figi;+679
Isole Norfolk;+672
Islanda;+354
Israele;+972
Italia;+39
Kampuchea (Cambogia);+855
Kazakhstan;+7
Kenya;+254
Kirghizistan;+996
Kiribati;+686
Kosovo;+383
Kuwait;+965
Laos;+856
Lesotho;+266
Lettonia;+371
Libano;+961
Liberia;+231
Libia;+218
Liechtenstein;+423
Lituania;+370
Lussemburgo;+352
Macao;+853
Macedonia del Nord;+389
Madagascar;+261
Malawi;+265
Malaysia;+60
Maldive;+960
Mali;+223
Malta;+356
Marianne;+1670
Marocco;+212
Isole Marshall;+692
Martinica;+596696
Mauritania;+222
Maurizio;+230
Mayotte;+2696
Messico;+52
Stati Federati di Micronesia;+691
Moldova;+373
Monaco;+377
Mongolia;+976
Montserrat;+1664
Mozambico;+258
Myanmar/Birmania;+95
Namibia;+264
Nauru;+674
Nepal;+977
Nicaragua;+505
Niger;+227
Nigeria;+234
Niue;+683
Norvegia;+47
Nuova Caledonia;+687
Nuova Zelanda;+64
Oman;+968
Paesi Bassi;+31
Pakistan;+92
Palau;+680
Palestina;+970
Panama;+507
Papua Nuova Guinea;+675
Paraguay;+595
Perù;+51
Polinesia Francese;+689
Polonia;+48
Portogallo;+351
Portorico;+1787
Qatar;+974
Regno Unito;+44
Repubblica ceca;+420
Repubblica Centrafricana;+236
Repubblica Dominicana;+1809
Repubblica Guinea;+224
San Marino;+378
Saint-Martin (FR);+590
Slovacchia;+421
Reunione;+262692
Romania;+40
Ruanda;+250
Russia;+7
Saint Elena;+290
Saint Kittis e Nevis;+1869
Saint Lucia;+1758
Saint Pierre e Miquelon;+508
Saint Vincent e Grenadine;+1784
Isole Salomone;+677
Samoa;+685
Samoa Americane;+684
Sao Tomé e Principe;+239
Senegal;+221
Serbia;+381
Seychelles;+248
Sierra Leone;+232
Singapore;+65
Siria;+963
Slovenia;+386
Somalia;+252
Spagna;+34
Sri Lanka;+94
Sudafrica;+27
Sudan;+249
Suriname;+597
Svezia;+46
Svizzera;+41
Swaziland;+268
Taiwan;+886
Tagikistan;+992
Tanzania;+255
Thailandia;+66
Togo;+228
Tokelau;+690
Tonga;+676
Trinidad e Tobago;+1868
Tunisia;+216
Turchia;+90
Turkmenistan;+993
Turks e Caicos;+1649
Tuvalu;+688
Ucraina;+380
Uganda;+256
Ungheria;+36
Uruguay;+598
Stati Uniti d'America;+1
Uzbekistan;+998
Vanuatu;+678
Venezuela;+58
Isole Vergini Americane;+1340
Isole Vergini Britanniche;+1284
Vietnam;+84
Wallis e Futuna;+681
Yemen;+967
Zaire;+243
Zambia;+260
Zimbabwe;+263
